TH Rank,Reps Men,Division Men,Reps Women,Division Women
1,289,RX,317,RX
2,283,RX,286,RX
3,276,RX,286,RX
4,274,RX,285,RX
5,271,RX,284,RX
6,270,RX,276,RX
7,268,RX,270,RX
8,268,RX,265,RX
9,268,RX,265,RX
10,267,RX,261,RX
11,266,RX,259,RX
12,261,RX,258,RX
13,259,RX,256,RX
14,257,RX,255,RX
15,256,RX,254,RX
16,254,RX,253,RX
17,253,RX,249,RX
18,252,RX,247,RX
19,250,RX,247,RX
20,249,RX,243,RX
21,248,RX,242,RX
22,248,RX,242,RX
23,245,RX,240,RX
24,245,RX,238,RX
25,245,RX,238,RX
26,244,RX,238,RX
27,244,RX,237,RX
28,243,RX,235,RX
29,242,RX,234,RX
30,239,RX,233,RX
31,239,RX,232,RX
32,239,RX,231,RX
33,238,RX,231,RX
34,237,RX,230,RX
35,237,RX,229,RX
36,237,RX,229,RX
37,236,RX,229,RX
38,236,RX,228,RX
39,236,RX,226,RX
40,234,RX,225,RX
41,234,RX,225,RX
42,233,RX,224,RX
43,231,RX,222,RX
44,231,RX,221,RX
44,231,RX,221,RX
46,230,RX,221,RX
46,230,RX,219,RX
48,229,RX,215,RX
49,229,RX,215,RX
50,228,RX,214,RX
51,228,RX,214,RX
51,228,RX,214,RX
53,227,RX,212,RX
54,226,RX,210,RX
55,226,RX,210,RX
56,224,RX,210,RX
57,223,RX,210,RX
58,223,RX,210,RX
59,220,RX,210,RX
60,220,RX,209,RX
61,220,RX,206,RX
62,219,RX,206,RX
63,219,RX,205,RX
64,218,RX,205,RX
65,217,RX,204,RX
66,217,RX,204,RX
67,216,RX,204,RX
68,216,RX,203,RX
69,215,RX,202,RX
70,215,RX,200,RX
71,215,RX,199,RX
72,214,RX,199,RX
73,214,RX,198,RX
74,214,RX,198,RX
75,212,RX,198,RX
76,212,RX,198,RX
77,211,RX,197,RX
78,211,RX,196,RX
79,210,RX,195,RX
80,210,RX,195,RX
81,210,RX,194,RX
82,210,RX,193,RX
83,209,RX,192,RX
84,208,RX,190,RX
85,208,RX,190,RX
86,207,RX,188,RX
87,207,RX,187,RX
88,207,RX,186,RX
89,207,RX,186,RX
90,206,RX,186,RX
91,206,RX,185,RX
92,206,RX,185,RX
92,206,RX,185,RX
94,206,RX,184,RX
95,206,RX,184,RX
96,206,RX,184,RX
97,205,RX,182,RX
98,204,RX,182,RX
99,204,RX,181,RX
100,204,RX,180,RX
101,204,RX,179,RX
102,202,RX,179,RX
103,201,RX,178,RX
104,201,RX,177,RX
105,201,RX,177,RX
106,200,RX,176,RX
107,200,RX,176,RX
107,200,RX,176,RX
109,200,RX,175,RX
110,200,RX,174,RX
111,199,RX,174,RX
112,199,RX,174,RX
113,199,RX,173,RX
114,198,RX,173,RX
115,198,RX,172,RX
116,198,RX,172,RX
117,198,RX,171,RX
118,198,RX,171,RX
119,197,RX,171,RX
120,197,RX,170,RX
121,196,RX,170,RX
122,196,RX,169,RX
123,195,RX,169,RX
124,194,RX,168,RX
125,194,RX,167,RX
126,193,RX,166,RX
127,191,RX,165,RX
128,191,RX,165,RX
129,190,RX,164,RX
130,190,RX,164,RX
131,190,RX,164,RX
132,190,RX,164,RX
133,189,RX,163,RX
134,188,RX,162,RX
